20090605000000 20210611160000 N-B-Close_Comp.txt IX, B, 0.04 1
20090605000000 20210611160000 N-B_Far_Comp.txt N13, B, 0.03 1
20090605000000 20210611160000 N-B_Mid1_Comp.txt N5, B, 0.02 1
20090605000000 20210611160000 N-B_Mid2_Comp.txt N10, B, 0.11 1
20090605000000 20210611160000 N-C_Close2_Comp.txt IX, C, 0.09 1
20090605000000 20210611160000 N-C_Far_Comp.txt N13, C, 0.03 1
20090605000000 20210611160000 N-C_Mid_Comp.txt N10, C, 0.04 1
20090605000000 20210611160000 N-D_Close_Comp.txt IX, D, 0 1
20090605000000 20210611160000 N-D_Far_Comp.txt N13, D, 0.02 1
20090605000000 20210611160000 N-E_Close_Comp.txt IX, E, 0.04 1
20090605000000 20210611160000 N-E_Far_Comp.txt N13, E, 0.03 1
20090605000000 20210611160000 N-E_Mid1_Comp.txt N5, E, 0.03 1
20090605000000 20210611160000 N-F_Close_Comp.txt IX, F, 0.04 1
20090605000000 20210611160000 N-F_Mid_Comp.txt N13, F, 0.02 1
20090605000000 20210611160000 N-Klaff_Comp.txt V, B, 1.65 1
