20090605000000 20210611160000 S-B_Close_Comp.txt I, B, 1.75 1
20090605000000 20210611160000 S-B_Close_Comp.txt II, B, 0.06 1
20090605000000 20210611160000 S-B_Close_Comp.txt III, B, 0.06 1
20090605000000 20210611160000 S-B_Close_Comp.txt IV, B, 0.06 1
20090605000000 20210611160000 S-B_Close_Comp.txt IV, B, 39.33 1
20090605000000 20210611160000 S-C_Close_Comp.txt I, C, 0.55 1
20090605000000 20210611160000 S-C_Close_Comp.txt II, C, 0.06 1
20090605000000 20210611160000 S-C_Close_Comp.txt III, C, 0.07 1
20090605000000 20210611160000 S-C_Close_Comp.txt IV, C, 0.06 1
20090605000000 20210611160000 S-C_Close_Comp.txt IV, C, 39.84 1
20090605000000 20210611160000 S-D_Close_Comp.txt I, D, 1.15 1
20090605000000 20210611160000 S-D_Close_Comp.txt II, D, 0.06 1
20090605000000 20210611160000 S-D_Close_Comp.txt III, D, 0.05 1
20090605000000 20210611160000 S-D_Close_Comp.txt IV, D, 0.06 1
20090605000000 20210611160000 S-D_Close_Comp.txt IV, D, 39.43 1
20090605000000 20210611160000 S-E_Close_Comp.txt I, E, 0.04 1
20090605000000 20210611160000 S-E_Close_Comp.txt II, E, 0.06 1
20090605000000 20210611160000 S-E_Close_Comp.txt III, E, 0.06 1
20090605000000 20210611160000 S-E_Close_Comp.txt IV, E, 0.06 1
20090605000000 20210611160000 S-E_Close_Comp.txt IV, E, 37.7 1
20090605000000 20210611160000 S-F_Close_Comp.txt I, F, 1.6 1
20090605000000 20210611160000 S-F_Close_Comp.txt II, F, 0.06 1
20090605000000 20210611160000 S-F_Close_Comp.txt III, F, 0.06 1
20090605000000 20210611160000 S-F_Close_Comp.txt IV, F, 0.06 1
20090605000000 20210611160000 S-F_Close_Comp.txt IV, F, 38.51 1
