Time_index,Time,Strain,Temperature
20150101000000,2015-01-01 00:00:00,-45.0,-6.7
20150101040000,2015-01-01 04:00:00,-5.0,-6.5
20150101080000,2015-01-01 08:00:00,12.0,-5.9
20150101120000,2015-01-01 12:00:00,3.0,-5.0
20150101160000,2015-01-01 16:00:00,-40.0,-5.0
20150101200000,2015-01-01 20:00:00,-45.0,-4.8
20150102000000,2015-01-02 00:00:00,-42.0,-5.0
20150102040000,2015-01-02 04:00:00,-4.0,-3.7
20150102080000,2015-01-02 08:00:00,2.0,-3.7
20150102120000,2015-01-02 12:00:00,5.0,-4.3
20150102160000,2015-01-02 16:00:00,2.0,-4.5
20150102200000,2015-01-02 20:00:00,-5.0,-4.3
20150103000000,2015-01-03 00:00:00,,-4.6
20150103040000,2015-01-03 04:00:00,-45.0,-4.5
20150103080000,2015-01-03 08:00:00,-54.0,-4.9
20150103120000,2015-01-03 12:00:00,-44.0,-5.0
20150103160000,2015-01-03 16:00:00,-58.0,-5.0
20150103200000,2015-01-03 20:00:00,2.0,-6.9
20150104000000,2015-01-04 00:00:00,-6.0,-6.9
20150104040000,2015-01-04 04:00:00,-47.0,-7.5
20150104080000,2015-01-04 08:00:00,-54.0,-7.9
20150104120000,2015-01-04 12:00:00,-59.0,-7.6
20150104160000,2015-01-04 16:00:00,-39.0,-7.9
20150104200000,2015-01-04 20:00:00,-32.0,-7.7
20150105000000,2015-01-05 00:00:00,-32.0,-9.1
20150105040000,2015-01-05 04:00:00,-28.0,-9.3
20150105080000,2015-01-05 08:00:00,-74.0,-9.8
20150105120000,2015-01-05 12:00:00,-60.0,-9.8
20150105160000,2015-01-05 16:00:00,-34.0,-10.4
20150105200000,2015-01-05 20:00:00,-17.0,-9.9
20150106000000,2015-01-06 00:00:00,-31.0,-10.2
20150106040000,2015-01-06 04:00:00,-31.0,-9.8
20150106080000,2015-01-06 08:00:00,-26.0,-9.2
20150106120000,2015-01-06 12:00:00,-65.0,-9.1
20150106160000,2015-01-06 16:00:00,-67.0,-8.5
20150106200000,2015-01-06 20:00:00,-35.0,-8.6
20150107000000,2015-01-07 00:00:00,-59.0,-8.7
20150107040000,2015-01-07 04:00:00,-47.0,-8.8
20150107080000,2015-01-07 08:00:00,-71.0,-7.0
20150107120000,2015-01-07 12:00:00,-75.0,-5.6
20150107160000,2015-01-07 16:00:00,-12.0,-5.7
20150107200000,2015-01-07 20:00:00,-49.0,-6.7
20150108000000,2015-01-08 00:00:00,-56.0,-5.6
20150108040000,2015-01-08 04:00:00,-45.0,-5.6
20150108080000,2015-01-08 08:00:00,-30.0,-4.6
20150108120000,2015-01-08 12:00:00,5.0,-4.3
20150108160000,2015-01-08 16:00:00,1.0,-4.6
20150108200000,2015-01-08 20:00:00,-9.0,-5.0
20150109000000,2015-01-09 00:00:00,-44.0,-5.6
20150109040000,2015-01-09 04:00:00,-2.0,-5.6
20150109080000,2015-01-09 08:00:00,-29.0,-7.0
20150109120000,2015-01-09 12:00:00,-6.0,-6.8
20150109160000,2015-01-09 16:00:00,-53.0,-6.7
20150109200000,2015-01-09 20:00:00,6.0,-7.4
20150110000000,2015-01-10 00:00:00,-58.0,-7.6
20150110040000,2015-01-10 04:00:00,-25.0,-7.9
20150110080000,2015-01-10 08:00:00,-40.0,-8.9
20150110120000,2015-01-10 12:00:00,-28.0,-4.9
20150110160000,2015-01-10 16:00:00,-37.0,-5.4
20150110200000,2015-01-10 20:00:00,1.0,-4.4
20150111000000,2015-01-11 00:00:00,-19.0,-5.0
20150111040000,2015-01-11 04:00:00,-50.0,-5.7
20150111080000,2015-01-11 08:00:00,-69.0,-5.4
20150111120000,2015-01-11 12:00:00,4.0,-5.0
20150111160000,2015-01-11 16:00:00,-48.0,-6.1
20150111200000,2015-01-11 20:00:00,-73.0,-6.9
20150112000000,2015-01-12 00:00:00,-67.0,-7.6
20150112040000,2015-01-12 04:00:00,-62.0,-6.1
20150112080000,2015-01-12 08:00:00,8.0,-5.3
20150112120000,2015-01-12 12:00:00,14.0,-5.1
20150112160000,2015-01-12 16:00:00,10.0,-4.1
20150112200000,2015-01-12 20:00:00,23.0,-4.6
20150113000000,2015-01-13 00:00:00,-37.0,-5.2
20150113040000,2015-01-13 04:00:00,7.0,-5.9
20150113080000,2015-01-13 08:00:00,-26.0,-5.8
20150113120000,2015-01-13 12:00:00,4.0,-5.3
20150113160000,2015-01-13 16:00:00,-9.0,-6.2
20150113200000,2015-01-13 20:00:00,-76.0,-6.4
20150114000000,2015-01-14 00:00:00,-61.0,-6.2
20150114040000,2015-01-14 04:00:00,-39.0,-8.0
20150114080000,2015-01-14 08:00:00,-51.0,-7.2
20150114120000,2015-01-14 12:00:00,-61.0,-7.2
20150114160000,2015-01-14 16:00:00,-50.0,-7.8
20150114200000,2015-01-14 20:00:00,5.0,-7.0
20150115000000,2015-01-15 00:00:00,-71.0,-7.8
20150115040000,2015-01-15 04:00:00,-69.0,-7.8
20150115080000,2015-01-15 08:00:00,-62.0,-8.3
20150115120000,2015-01-15 12:00:00,-61.0,-8.3
20150115160000,2015-01-15 16:00:00,-18.0,-6.4
20150115200000,2015-01-15 20:00:00,-1.0,-5.8
20150116000000,2015-01-16 00:00:00,7.0,-5.4
20150116040000,2015-01-16 04:00:00,-3.0,-5.7
20150116080000,2015-01-16 08:00:00,-53.0,-5.4
20150116120000,2015-01-16 12:00:00,-46.0,-4.6
