Time_index,Time,Strain
20090605000000,2009-06-05 00:00:00,
20090605040000,2009-06-05 04:00:00,
20090605080000,2009-06-05 08:00:00,
20090605120000,2009-06-05 12:00:00,
20091016080000,2009-10-16 08:00:00,10.79843
20091016120000,2009-10-16 12:00:00,10.79889
20091016160000,2009-10-16 16:00:00,10.80098
20091016200000,2009-10-16 20:00:00,10.80146
20091017000000,2009-10-17 00:00:00,10.80135
20091017040000,2009-10-17 04:00:00,10.80087
20091017080000,2009-10-17 08:00:00,10.80072
20091017120000,2009-10-17 12:00:00,10.8036
20091017160000,2009-10-17 16:00:00,10.80445
20091017200000,2009-10-17 20:00:00,10.80301
20091018000000,2009-10-18 00:00:00,10.80169
20091018040000,2009-10-18 04:00:00,10.80007
20091018080000,2009-10-18 08:00:00,10.79931
20091018120000,2009-10-18 12:00:00,10.80306
20091018160000,2009-10-18 16:00:00,10.80398
20091018200000,2009-10-18 20:00:00,10.80519
20091019000000,2009-10-19 00:00:00,10.80583
20091019040000,2009-10-19 04:00:00,10.80609
20091019080000,2009-10-19 08:00:00,10.80682
20091019120000,2009-10-19 12:00:00,10.80771
20091019160000,2009-10-19 16:00:00,10.80763
20091019200000,2009-10-19 20:00:00,10.80723
20091020000000,2009-10-20 00:00:00,10.8063
20091020040000,2009-10-20 04:00:00,10.80644
20091020080000,2009-10-20 08:00:00,10.80654
20091020120000,2009-10-20 12:00:00,10.80723
20091020160000,2009-10-20 16:00:00,10.80716
20091020200000,2009-10-20 20:00:00,10.80568
20091021000000,2009-10-21 00:00:00,10.80325
20091021040000,2009-10-21 04:00:00,10.80172
20091021080000,2009-10-21 08:00:00,10.80076
20091021120000,2009-10-21 12:00:00,10.80319
20091021160000,2009-10-21 16:00:00,10.80365
20091021200000,2009-10-21 20:00:00,10.80266
20091022000000,2009-10-22 00:00:00,10.80175
20091022040000,2009-10-22 04:00:00,10.80172
20091022080000,2009-10-22 08:00:00,10.80259
20091022120000,2009-10-22 12:00:00,10.80444
20091022160000,2009-10-22 16:00:00,10.80494
20091022200000,2009-10-22 20:00:00,10.80531
20091023000000,2009-10-23 00:00:00,10.80452
20091023040000,2009-10-23 04:00:00,10.80414
20091023080000,2009-10-23 08:00:00,10.80435
20091023120000,2009-10-23 12:00:00,10.80491
20091023160000,2009-10-23 16:00:00,10.80478
20091023200000,2009-10-23 20:00:00,10.8043
20091024000000,2009-10-24 00:00:00,10.80373
20091024040000,2009-10-24 04:00:00,10.80378
20091024080000,2009-10-24 08:00:00,10.803
20091024120000,2009-10-24 12:00:00,10.80358
20091024160000,2009-10-24 16:00:00,10.80318
20091024200000,2009-10-24 20:00:00,10.80286
20091025000000,2009-10-25 00:00:00,10.80277
20091025040000,2009-10-25 04:00:00,10.80296
20091025080000,2009-10-25 08:00:00,10.80354
20091025120000,2009-10-25 12:00:00,10.80435
20091025160000,2009-10-25 16:00:00,10.80616
20091025200000,2009-10-25 20:00:00,10.80665
20091026000000,2009-10-26 00:00:00,10.80756
20091026040000,2009-10-26 04:00:00,10.80764
20091026080000,2009-10-26 08:00:00,10.80802
20091026120000,2009-10-26 12:00:00,10.80851
20091026160000,2009-10-26 16:00:00,10.80841
20091026200000,2009-10-26 20:00:00,10.80788
20091027000000,2009-10-27 00:00:00,10.80649
20091027040000,2009-10-27 04:00:00,10.80506
20091027080000,2009-10-27 08:00:00,10.80389
20091027120000,2009-10-27 12:00:00,10.80578
20091027160000,2009-10-27 16:00:00,10.80509
20091027200000,2009-10-27 20:00:00,10.80349
20091028000000,2009-10-28 00:00:00,10.80204
20091028040000,2009-10-28 04:00:00,10.80015
20091028080000,2009-10-28 08:00:00,10.79965
20091028120000,2009-10-28 12:00:00,10.80061
20091028160000,2009-10-28 16:00:00,10.80106
20091028200000,2009-10-28 20:00:00,10.80092
20091029000000,2009-10-29 00:00:00,10.79982
20091029040000,2009-10-29 04:00:00,10.79864
20091029080000,2009-10-29 08:00:00,10.79851
20091029120000,2009-10-29 12:00:00,10.80049
20091029160000,2009-10-29 16:00:00,10.79976
20091029200000,2009-10-29 20:00:00,10.79929
20091030000000,2009-10-30 00:00:00,10.79891
20091030040000,2009-10-30 04:00:00,10.79908
20091030080000,2009-10-30 08:00:00,10.79911
20091030120000,2009-10-30 12:00:00,10.80013
20091030160000,2009-10-30 16:00:00,10.79958
20091030200000,2009-10-30 20:00:00,10.79785
20091031000000,2009-10-31 00:00:00,10.79708
20091031040000,2009-10-31 04:00:00,10.79669
20091031080000,2009-10-31 08:00:00,10.79744
20091031120000,2009-10-31 12:00:00,10.79986
20091031160000,2009-10-31 16:00:00,10.80004
20091031200000,2009-10-31 20:00:00,10.79915
20091101000000,2009-11-01 00:00:00,10.7992
20091101040000,2009-11-01 04:00:00,10.79865
