Time_index,Time,Strain
20090605000000,2009-06-05 00:00:00,
20090605040000,2009-06-05 04:00:00,
20090605080000,2009-06-05 08:00:00,
20090605120000,2009-06-05 12:00:00,
20091016080000,2009-10-16 08:00:00,1975.987
20091016120000,2009-10-16 12:00:00,1973.501
20091016160000,2009-10-16 16:00:00,1971.779
20091016200000,2009-10-16 20:00:00,2001.964
20091017000000,2009-10-17 00:00:00,1998.589
20091017040000,2009-10-17 04:00:00,1970.995
20091017080000,2009-10-17 08:00:00,1984.215
20091017120000,2009-10-17 12:00:00,1994.967
20091017160000,2009-10-17 16:00:00,1981.642
20091017200000,2009-10-17 20:00:00,1983.317
20091018000000,2009-10-18 00:00:00,1986.02
20091018040000,2009-10-18 04:00:00,1970.908
20091018080000,2009-10-18 08:00:00,1952.87
20091018120000,2009-10-18 12:00:00,1974.257
20091018160000,2009-10-18 16:00:00,1974.909
20091018200000,2009-10-18 20:00:00,1974.077
20091019000000,2009-10-19 00:00:00,1965.745
20091019040000,2009-10-19 04:00:00,1956.214
20091019080000,2009-10-19 08:00:00,1973.048
20091019120000,2009-10-19 12:00:00,1955.955
20091019160000,2009-10-19 16:00:00,1956.493
20091019200000,2009-10-19 20:00:00,1979.758
20091020000000,2009-10-20 00:00:00,1999.69
20091020040000,2009-10-20 04:00:00,1963.835
20091020080000,2009-10-20 08:00:00,2008.422
20091020120000,2009-10-20 12:00:00,2003.681
20091020160000,2009-10-20 16:00:00,2012.045
20091020200000,2009-10-20 20:00:00,1922.688
20091021000000,2009-10-21 00:00:00,1983.296
20091021040000,2009-10-21 04:00:00,1961.6
20091021080000,2009-10-21 08:00:00,1964.431
20091021120000,2009-10-21 12:00:00,1964.598
20091021160000,2009-10-21 16:00:00,1965.924
20091021200000,2009-10-21 20:00:00,1957.891
20091022000000,2009-10-22 00:00:00,1979.581
20091022040000,2009-10-22 04:00:00,1962.112
20091022080000,2009-10-22 08:00:00,1937.126
20091022120000,2009-10-22 12:00:00,1970.01
20091022160000,2009-10-22 16:00:00,1939.904
20091022200000,2009-10-22 20:00:00,1927.58
20091023000000,2009-10-23 00:00:00,1930.36
20091023040000,2009-10-23 04:00:00,1963.75
20091023080000,2009-10-23 08:00:00,1932.69
20091023120000,2009-10-23 12:00:00,1940.183
20091023160000,2009-10-23 16:00:00,1934.011
20091023200000,2009-10-23 20:00:00,1922.988
20091024000000,2009-10-24 00:00:00,1964.247
20091024040000,2009-10-24 04:00:00,1973.796
20091024080000,2009-10-24 08:00:00,1967.562
20091024120000,2009-10-24 12:00:00,1959.063
20091024160000,2009-10-24 16:00:00,1959.585
20091024200000,2009-10-24 20:00:00,1965.632
20091025000000,2009-10-25 00:00:00,1951.557
20091025040000,2009-10-25 04:00:00,1947.272
20091025080000,2009-10-25 08:00:00,1930.378
20091025120000,2009-10-25 12:00:00,1926.298
20091025160000,2009-10-25 16:00:00,1944.056
20091025200000,2009-10-25 20:00:00,1996.163
20091026000000,2009-10-26 00:00:00,1977.05
20091026040000,2009-10-26 04:00:00,1978.616
20091026080000,2009-10-26 08:00:00,1984.008
20091026120000,2009-10-26 12:00:00,1966.71
20091026160000,2009-10-26 16:00:00,1965.041
20091026200000,2009-10-26 20:00:00,1973.581
20091027000000,2009-10-27 00:00:00,1972.9
20091027040000,2009-10-27 04:00:00,1954.056
20091027080000,2009-10-27 08:00:00,1947.19
20091027120000,2009-10-27 12:00:00,1926.287
20091027160000,2009-10-27 16:00:00,1951.386
20091027200000,2009-10-27 20:00:00,1977.469
20091028000000,2009-10-28 00:00:00,1976.031
20091028040000,2009-10-28 04:00:00,1961.917
20091028080000,2009-10-28 08:00:00,1968.392
20091028120000,2009-10-28 12:00:00,1960.94
20091028160000,2009-10-28 16:00:00,1966.356
20091028200000,2009-10-28 20:00:00,1957.673
20091029000000,2009-10-29 00:00:00,1958.397
20091029040000,2009-10-29 04:00:00,1970.317
20091029080000,2009-10-29 08:00:00,1957.806
20091029120000,2009-10-29 12:00:00,1950.884
20091029160000,2009-10-29 16:00:00,1944.463
20091029200000,2009-10-29 20:00:00,1925.934
20091030000000,2009-10-30 00:00:00,1935.439
20091030040000,2009-10-30 04:00:00,1966.093
20091030080000,2009-10-30 08:00:00,1967.795
20091030120000,2009-10-30 12:00:00,1964.646
20091030160000,2009-10-30 16:00:00,1950.853
20091030200000,2009-10-30 20:00:00,1970.913
20091031000000,2009-10-31 00:00:00,1960.484
20091031040000,2009-10-31 04:00:00,1946.468
20091031080000,2009-10-31 08:00:00,1951.276
20091031120000,2009-10-31 12:00:00,1956.004
20091031160000,2009-10-31 16:00:00,1979.182
20091031200000,2009-10-31 20:00:00,1959.475
20091101000000,2009-11-01 00:00:00,1976.853
20091101040000,2009-11-01 04:00:00,1965.719
20091101080000,2009-11-01 08:00:00,1962.322
20091101120000,2009-11-01 12:00:00,1980.526
20091101160000,2009-11-01 16:00:00,1986.598
20091101200000,2009-11-01 20:00:00,1972.291
20091102000000,2009-11-02 00:00:00,1987.167
20091102040000,2009-11-02 04:00:00,1970.094
20091102080000,2009-11-02 08:00:00,1967.877
20091102120000,2009-11-02 12:00:00,1968.65
20091102160000,2009-11-02 16:00:00,1951.032
20091102200000,2009-11-02 20:00:00,1957.238
20091103000000,2009-11-03 00:00:00,1953.702
20091103040000,2009-11-03 04:00:00,1964.227
20091103080000,2009-11-03 08:00:00,1974.858
20091103120000,2009-11-03 12:00:00,1978.396
20091103160000,2009-11-03 16:00:00,1962.545
20091103200000,2009-11-03 20:00:00,1959.626
20091104000000,2009-11-04 00:00:00,1965.527
20091104040000,2009-11-04 04:00:00,1967.787
20091104080000,2009-11-04 08:00:00,1969.421
20091104120000,2009-11-04 12:00:00,1968.842
20091104160000,2009-11-04 16:00:00,1967.887
20091104200000,2009-11-04 20:00:00,1966.356
20091105000000,2009-11-05 00:00:00,1971.955
20091105040000,2009-11-05 04:00:00,1969.144
20091105080000,2009-11-05 08:00:00,1966.733
20091105120000,2009-11-05 12:00:00,1957.719
20091105160000,2009-11-05 16:00:00,1973.071
20091105200000,2009-11-05 20:00:00,1960.276
20091106000000,2009-11-06 00:00:00,1965.798
20091106040000,2009-11-06 04:00:00,1975.101
20091106080000,2009-11-06 08:00:00,1945.462
20091106120000,2009-11-06 12:00:00,1966.989
20091106160000,2009-11-06 16:00:00,1979.894
20091106200000,2009-11-06 20:00:00,1967.201
20091107000000,2009-11-07 00:00:00,1956.429
20091107040000,2009-11-07 04:00:00,1952.476
20091107080000,2009-11-07 08:00:00,1963.924
20091107120000,2009-11-07 12:00:00,1984.701
20091107160000,2009-11-07 16:00:00,1977.695
20091107200000,2009-11-07 20:00:00,1963.502
20091108000000,2009-11-08 00:00:00,1962.04
20091108040000,2009-11-08 04:00:00,1959.493
20091108080000,2009-11-08 08:00:00,1950.467
20091108120000,2009-11-08 12:00:00,1959.293
20091108160000,2009-11-08 16:00:00,1978.017
20091108200000,2009-11-08 20:00:00,1969.498
20091109000000,2009-11-09 00:00:00,1958.198
20091109040000,2009-11-09 04:00:00,1962.703
20091109080000,2009-11-09 08:00:00,1953.503
20091109120000,2009-11-09 12:00:00,1970.135
20091109160000,2009-11-09 16:00:00,1979.533
20091109200000,2009-11-09 20:00:00,1971.612
20091110000000,2009-11-10 00:00:00,1972.421
20091110040000,2009-11-10 04:00:00,1978.184
20091110080000,2009-11-10 08:00:00,1967.145
20091110120000,2009-11-10 12:00:00,1944.538
20091110160000,2009-11-10 16:00:00,1958.802
20091110200000,2009-11-10 20:00:00,1959.181
20091111000000,2009-11-11 00:00:00,1974.712
20091111040000,2009-11-11 04:00:00,1955.715
20091111080000,2009-11-11 08:00:00,1967.79
20091111120000,2009-11-11 12:00:00,1965.571
20091111160000,2009-11-11 16:00:00,1957.115
20091111200000,2009-11-11 20:00:00,1969.306
20091112000000,2009-11-12 00:00:00,1955.402
20091112040000,2009-11-12 04:00:00,1953.912
20091112080000,2009-11-12 08:00:00,1953.692
20091112120000,2009-11-12 12:00:00,1979.402
20091112160000,2009-11-12 16:00:00,1973.361
20091112200000,2009-11-12 20:00:00,1957.924
20091113000000,2009-11-13 00:00:00,1959.747
20091113040000,2009-11-13 04:00:00,1954.235
20091113080000,2009-11-13 08:00:00,
20091113120000,2009-11-13 12:00:00,
20091113160000,2009-11-13 16:00:00,
20091113200000,2009-11-13 20:00:00,
20091114000000,2009-11-14 00:00:00,
20091114040000,2009-11-14 04:00:00,
20091114080000,2009-11-14 08:00:00,
20091114120000,2009-11-14 12:00:00,
20091114160000,2009-11-14 16:00:00,1945.59
20091114200000,2009-11-14 20:00:00,1957.077
20091115000000,2009-11-15 00:00:00,1988.71
20091115040000,2009-11-15 04:00:00,1963.604
20091115080000,2009-11-15 08:00:00,1985.792
20091115120000,2009-11-15 12:00:00,1956.255
20091115160000,2009-11-15 16:00:00,1964.623
20091115200000,2009-11-15 20:00:00,1979.223
20091116000000,2009-11-16 00:00:00,1945.605
20091116040000,2009-11-16 04:00:00,1969.943
20091116080000,2009-11-16 08:00:00,1967.05
20091116120000,2009-11-16 12:00:00,1967.857
20091116160000,2009-11-16 16:00:00,1967.089
20091116200000,2009-11-16 20:00:00,1941.245
20091117000000,2009-11-17 00:00:00,1935.805
20091117040000,2009-11-17 04:00:00,1933.637
20091117080000,2009-11-17 08:00:00,1970.145
20091117120000,2009-11-17 12:00:00,1934.661
20091117160000,2009-11-17 16:00:00,1944.622
20091117200000,2009-11-17 20:00:00,1943.887
20091118000000,2009-11-18 00:00:00,1972.37
20091118040000,2009-11-18 04:00:00,1972.285
20091118080000,2009-11-18 08:00:00,1965.074
20091118120000,2009-11-18 12:00:00,1966.799
20091118160000,2009-11-18 16:00:00,1956.047
20091118200000,2009-11-18 20:00:00,1950.085
20091119000000,2009-11-19 00:00:00,1937.567
20091119040000,2009-11-19 04:00:00,1920.069
20091119080000,2009-11-19 08:00:00,1961.633
20091119120000,2009-11-19 12:00:00,1933.358
20091119160000,2009-11-19 16:00:00,1932.723
20091119200000,2009-11-19 20:00:00,1965.578
20091120000000,2009-11-20 00:00:00,1943.69
20091120040000,2009-11-20 04:00:00,1966.164
20091120080000,2009-11-20 08:00:00,1944.174
20091120120000,2009-11-20 12:00:00,1972.15
20091120160000,2009-11-20 16:00:00,1975.846
20091120200000,2009-11-20 20:00:00,1993.828
20091121000000,2009-11-21 00:00:00,1982.692
20091121040000,2009-11-21 04:00:00,1948.754
20091121080000,2009-11-21 08:00:00,1946.624
20091121120000,2009-11-21 12:00:00,1936.732
20091121160000,2009-11-21 16:00:00,1939.098
20091121200000,2009-11-21 20:00:00,1949.734
20091122000000,2009-11-22 00:00:00,1945.126
20091122040000,2009-11-22 04:00:00,1932.516
20091122080000,2009-11-22 08:00:00,1958.083
20091122120000,2009-11-22 12:00:00,1974.945
20091122160000,2009-11-22 16:00:00,1949.496
20091122200000,2009-11-22 20:00:00,1943.619
20091123000000,2009-11-23 00:00:00,1932.629
20091123040000,2009-11-23 04:00:00,1928.758
20091123080000,2009-11-23 08:00:00,1944.427
20091123120000,2009-11-23 12:00:00,1937.144
20091123160000,2009-11-23 16:00:00,1932.099
20091123200000,2009-11-23 20:00:00,1941.11
20091124000000,2009-11-24 00:00:00,1979.85
20091124040000,2009-11-24 04:00:00,1956.442
20091124080000,2009-11-24 08:00:00,1961.131
20091124120000,2009-11-24 12:00:00,1946.048
20091124160000,2009-11-24 16:00:00,1958.948
20091124200000,2009-11-24 20:00:00,1939.254
